# --------------- Global -----------------------------------------------------
$SSL_ClickHere	Haz clic aquí
# TODO: $SSL_iGameEnjAdjAmountHighlight
$SSL_iGameEnjAdjAmountHighlight	The amount of enjoyment increased or depleted upon a relevant minigame action.
$SSL_bGameRequiredOnHighEnj	Requerir minijuego con alto disfrute
$SSL_bGameRequiredOnHighEnjHighlight	Desactiva el aumento de disfrute por detección de colisiones cuando supera 80.\nCon esto activo, el jugador deberá usar el minijuego para alcanzar el orgasmo.
$SSL_bGameSpamDelayPenalty	Penalización por spam/tiempo incorrecto
$SSL_bGameSpamDelayPenaltyHighlight	Aplica penalizaciones de disfrute, resistencia y magia por intentos mal sincronizados.\n(Importante: Solo funciona junto con la opción anterior.)

# ------ Game Hotkeys
$SSL_iGameRaiseEnjKey	Tecla aumentar disfrute
$SSL_iGameRaiseEnjKeyHighlight	Aumenta manualmente el disfrute a costa de resistencia. Para afectar al jugador, combinar con la tecla modificadora.\nAl llegar a 90, sirve para mantener el estado de “edging”, requiriendo pulsaciones precisas.
$SSL_iGameHoldbackKey	Tecla reducir disfrute
$SSL_iGameHoldbackKeyHighlight	Reduce manualmente el disfrute a costa de magia. Para afectar al jugador, combinar con la tecla modificadora.

# ------------------ Expression Editor --------------------------------------------------
$SSL_ExpressionEditor	Editor de expresiones

$SSL_DialogueMood_0	Diálogo: Ira
$SSL_DialogueMood_1	Diálogo: Miedo
$SSL_DialogueMood_2	Diálogo: Feliz
$SSL_DialogueMood_3	Diálogo: Triste
$SSL_DialogueMood_4	Diálogo: Sorpresa
$SSL_DialogueMood_5	Diálogo: Confusión
$SSL_DialogueMood_6	Diálogo: Asco
$SSL_DialogueMood_7	Ánimo neutral
$SSL_DialogueMood_8	Ánimo: Ira
$SSL_DialogueMood_9	Ánimo: Miedo
$SSL_DialogueMood_10	Ánimo: Feliz
$SSL_DialogueMood_11	Ánimo: Triste
$SSL_DialogueMood_12	Ánimo: Sorpresa
$SSL_DialogueMood_13	Ánimo: Confusión
$SSL_DialogueMood_14	Ánimo: Asco
$SSL_DialogueMood_15	Combate: Ira
$SSL_DialogueMood_16	Combate: Grito

$SSL_Phoneme_0	0: Aah
$SSL_Phoneme_1	1: Aah grande
$SSL_Phoneme_2	2: BMP
$SSL_Phoneme_3	3: ChjSh
$SSL_Phoneme_4	4: DST
$SSL_Phoneme_5	5: Eee
$SSL_Phoneme_6	6: Eh
$SSL_Phoneme_7	7: FV
$SSL_Phoneme_8	8: i
$SSL_Phoneme_9	9: k
$SSL_Phoneme_10	10: N
$SSL_Phoneme_11	11: Oh
$SSL_Phoneme_12	12: OohQ
$SSL_Phoneme_13	13: R
$SSL_Phoneme_14	14: Th
$SSL_Phoneme_15	15: W

$SSL_Modifier_0	0: Parpadeo izq
$SSL_Modifier_1	1: Parpadeo der
$SSL_Modifier_2	2: Ceja abajo izq
$SSL_Modifier_3	3: Ceja abajo der
$SSL_Modifier_4	4: Ceja hacia dentro izq
$SSL_Modifier_5	5: Ceja hacia dentro der
$SSL_Modifier_6	6: Ceja arriba izq
$SSL_Modifier_7	7: Ceja arriba der
$SSL_Modifier_8	8: Mirar abajo
$SSL_Modifier_9	9: Mirar izquierda
$SSL_Modifier_10	10: Mirar derecha
$SSL_Modifier_11	11: Mirar arriba
$SSL_Modifier_12	12: Entrecerrar izq
$SSL_Modifier_13	13: Entrecerrar der

$SSL_ScaleMode_Linear	Lineal
$SSL_ScaleMode_Square	Cuadrático
$SSL_ScaleMode_Cubic	Cúbico
$SSL_ScaleMode_Exponential	Exponencial

$SSL_ModifyingExpression	Modificando expresión
$SSL_enableexpressionHighlight	Activa o desactiva la expresión actual
$SSL_ExpressionScaling	Función de escala
$SSL_ExpressionsNormal	Disponible en escenas normales
$SSL_ExpressionsVictim	Disponible como sumiso
$SSL_ExpressionsAggressor	Disponible como dominante
$SSL_ExpressionScalingHighlight	Comportamiento de la escala según el progreso del disfrute.\nLineal: aumento constante\nCuadrático: aumento rápido al inicio, luego lento, con pico final\nCúbico: inicio lento, aumento progresivo\nExponencial: inicio muy lento, crecimiento rápido al final
$SSL_EditFemale	Editar datos femeninos
$SSL_TestOnPlayer	Probar en el jugador

$SSL_WarnTestExpression{}	Probando expresión en {}. ¿Continuar?
$SSL_WarnTestExpressionLowOrHight	¿Probar perfil bajo (izquierda) o alto (derecha)?
$SSL_WarnTestExpressionWithOpenMouth	¿Probar con la boca abierta?
$SSL_StartTestExpression{}	Probando expresión {}. Valores se restablecerán en 15 segundos.\nCierra el menú para continuar..
$SSL_AppliedTestExpression	Expresión aplicada, se revertirá en 15 segundos...
$SSL_RestoredTestExpression	Expresión restaurada...

$SSL_EditExpressions_0	Datos de expresión (bajo)
$SSL_EditExpressions_1	Datos de expresión (alto)
$SSL_MoodType	Tipo de ánimo
$SSL_MoodStrength	Intensidad del ánimo
$SSL_Phoneme	Fonema
$SSL_Modifier	Modificador

$SSL_PrevPhase	<< Fase anterior
$SSL_NextPhase	Siguiente fase >>

# ------ Sync lips config
$SSL_SyncLipsConfig	Sincronización labial

$SSL_Sync	Sincronizado
$SSL_Async	Asíncrono
$SSL_LipsSoundTime	Comportamiento de labios
$SSL_LipsSoundTimeHighlight	Sincronizado: Los labios comienzan a cerrarse cuando el sonido termina.\nAsíncrono: Los labios se cierran tras un pequeño retraso, independiente del sonido.
$SSL_bLipsFixedValue	Intensidad fija de labios
$SSL_bLipsFixedValueHighlight	Define si la intensidad del movimiento labial aumenta con el nivel de disfrute.

# ------------------ Strip Item Editor --------------------------------------------------
$SSL_StripEditor	Editor de desvestido

$SSL_Equipment{}	Equipo - {}
$SSL_FullInventory	Mostrar inventario completo
$SSL_FullInventoryHighlight	Permite mostrar todos los objetos del inventario del actor para editar su comportamiento al desvestirse
$SSL_AlwaysRemove	Siempre quitar
$SSL_NeverRemove	Nunca quitar
$SSL_StripItemSlots{}	Ranuras Biped: {}


# ------------------ Rebuild & Clean --------------------------------------------------
$SSL_RebuildClean	Debug
$SSL_Installation	Instalación

$SSL_bDebugMode	Modo debug
$SSL_bDebugModeHighlight	Activa registros adicionales de hilos y escenas.\nPuede reducir el rendimiento pero ayuda a detectar problemas.
$SSL_StopCurrentAnimations	Detener animaciones actuales
$SSL_StopCurrentAnimationsHighlight	Detiene todos los procesos activos de SexLab, sin importar si el jugador participa
$SSL_StopRunningAnimations	Todas las animaciones activas se están deteniendo
$SSL_ResetStripOverrides	Restablecer desvestido personalizado
$SSL_ResetStripOverridesHighlight	Restablece todas las configuraciones personalizadas de desvestido del usuario
$SSL_CleanSystem	Reinicializar sistema
$SSL_CleanSystemHighlight	Reinstala SexLab; ¡no recomendado!
$SSL_WarnCleanSystem	Ejecutar esto reinstalará el sistema y reiniciará la mayoría de datos internos. ¿Deseas continuar?
$SSL_Resetting	Reiniciando...
$SSL_CurrentlyInstalling	SexLab se está inicializando...
$SSL_ForceRegisterVoices	Legacy: Forzar registro
$SSL_ForceRegisterVoicesHighlight	Envía eventos a mods externos para permitir registrar voces/expresiones.\nIMPORTANTE: SexLab P+ ya no envía estos eventos automáticamente, por lo que esta opción es necesaria para mods que dependan de ello.

$RegistryInfo	Estado del registro
$SSL_Animations	Animaciones
$SSL_Voices	Voces
$SSL_Expressions	Expresiones

# ------ Available Strap-ons
$SSL_AvailableStrapons	Strap-ons disponibles
$SSL_RebuildStraponList	Reconstruir lista de strap-ons
$SSL_RebuildStraponListHighlight	Actualiza la lista de strap-ons disponibles para el sistema
$SSL_FoundStrapon	Strap-ons encontrados y guardados
$SSL_NoStrapons	No se encontraron mods de strap-ons compatibles
$SSL_toggleStraponHighlight	Haz clic para desactivar este strap-on en SexLab


# ------------------ Legacy --------------------------------------------------
$SSL_Neutral	Neutral
$SSL_Unsullied	Puro
$SSL_CleanCut	Impecable
$SSL_PrimProper	Correcto y formal
$SSL_Virtuous	Virtuoso
$SSL_EverFaithful	Siempre fiel
$SSL_Ladylike	Dama refinada
$SSL_Lordly	Señorial
$SSL_Saintly	Santo
$SSL_Experimenting	Experimentando
$SSL_UnusuallyHorny	Inusualmente excitado
$SSL_Promiscuous	Promiscuo
$SSL_SexualDeviant	Desviado sexual
$SSL_Debaucherous	Degenerado
$SSL_Nymphomaniac	Ninfómano
$SSL_Depraved	Depravado
$SSL_Hypersexual	Hipersexual
