# --------------- Global -----------------------------------------------------
$SSL_ClickHere	Выполнить
$SSL_fPainHugePPMultHighlight	Дополнительный фактор, усиливающий боль для актеров, участвующих в сценах проникновения в позе принимающего партнера с актерами, обладающими большими половыми органами. Пока что, используется только во время проникновения определенными существами.

# ------ Game Configs
$SSL_iEnjGameStaminaCost	Стоимость игры. Выносливость
$SSL_iEnjGameStaminaCostHighlight	Сколько будет потрачено выносливости для соответствующего действия в мини-игре.
$SSL_iEnjGameMagickaCost	Стоимость игры. Магия
$SSL_iEnjGameMagickaCostHighlight	Сколько будет потрачено магии для соответствующего действия в мини-игре.
$SSL_bGameRequiredOnHighEnj	Требовать мини-игру для оргазма
$SSL_bGameRequiredOnHighEnjHighlight	Включает/отключает получение наслаждения игроком от мини-игры за счет внутренних расчётов, когда значение превышает 80. При включении этой функции игроку придется активно полагаться на мини-игру, чтобы достичь оргазма.
$SSL_bGameSpamDelayPenalty	Штрафы в мини-игре
$SSL_bGameSpamDelayPenaltyHighlight	Включает в себя штрафы к наслаждению, а также истощение выносливости и магии у игрока при неудачных по таймингу попытках повысить уровень удовольствия. (ВАЖНО: Эта опция работает только в сочетании с указанной выше опцией.)

# ------ Game Hotkeys
$SSL_iGameRaiseEnjKey	Повысить наслаждение
$SSL_iGameRaiseEnjKeyHighlight	Горячая клавиша для ручного повышения уровня наслаждения за счет выносливости. Для повышения собственного/игрового уровня наслаждения используйте в сочетании со вспомогательной клавишей.\nКак только уровень наслаждения достигнет 90, эта горячая клавиша будет использоваться для поддержания состояния "предела", при котором потребуются своевременные нажатия, чтобы избежать штрафов за спам.
$SSL_iGameHoldbackKey	Кнопка "сдерживания"
$SSL_iGameHoldbackKeyHighlight	Горячая клавиша для ручного ограничения/снижения удовольствия за счет расхода магии. Для снижения удовольствия для себя/игрока используйте в сочетании с вспомогательной клавишей.

# ------------------ Expression Editor --------------------------------------------------
$SSL_ExpressionEditor	Редактор эмоций

$SSL_DialogueMood_0	Диалог Гнев
$SSL_DialogueMood_1	Диалог Страх
$SSL_DialogueMood_2	Диалог Счастье
$SSL_DialogueMood_3	Диалог Грусть
$SSL_DialogueMood_4	Диалог Удивление
$SSL_DialogueMood_5	Диалог Озадаченный
$SSL_DialogueMood_6	Диалог Отвращение
$SSL_DialogueMood_7	Настроение Нейтрально
$SSL_DialogueMood_8	Настроение Гнев
$SSL_DialogueMood_9	Настроение Страх
$SSL_DialogueMood_10	Настроение Счастье
$SSL_DialogueMood_11	Настроение Грусть
$SSL_DialogueMood_12	Настроение Удивление
$SSL_DialogueMood_13	Настроение Озадаченный
$SSL_DialogueMood_14	Настроение Отвращение
$SSL_DialogueMood_15	Бой Гнев
$SSL_DialogueMood_16	Бой Крик

$SSL_Phoneme_0	0: Aah
$SSL_Phoneme_1	1: BigAah
$SSL_Phoneme_2	2: BMP
$SSL_Phoneme_3	3: ChjSh
$SSL_Phoneme_4	4: DST
$SSL_Phoneme_5	5: Eee
$SSL_Phoneme_6	6: Eh
$SSL_Phoneme_7	7: FV
$SSL_Phoneme_8	8: i
$SSL_Phoneme_9	9: k
$SSL_Phoneme_10	10: N
$SSL_Phoneme_11	11: Oh
$SSL_Phoneme_12	12: OohQ
$SSL_Phoneme_13	13: R
$SSL_Phoneme_14	14: Th
$SSL_Phoneme_15	15: W

$SSL_Modifier_0	0: BlinkL
$SSL_Modifier_1	1: BlinkR
$SSL_Modifier_2	2: BrowDownL
$SSL_Modifier_3	3: BrownDownR
$SSL_Modifier_4	4: BrowInL
$SSL_Modifier_5	5: BrowInR
$SSL_Modifier_6	6: BrowUpL
$SSL_Modifier_7	7: BrowUpR
$SSL_Modifier_8	8: LookDown
$SSL_Modifier_9	9: LookLeft
$SSL_Modifier_10	10: LookRight
$SSL_Modifier_11	11: LookUp
$SSL_Modifier_12	12: SquintL
$SSL_Modifier_13	13: SquintR

$SSL_ScaleMode_Linear	Линейный
$SSL_ScaleMode_Square	Квадратичный
$SSL_ScaleMode_Cubic	Кубический
$SSL_ScaleMode_Exponential	Экспоненциальный

$SSL_ModifyingExpression	Модификаторы Эмоций
$SSL_enableexpressionHighlight	Включить или выключить эмоцию которая в двнный момент редактируется
$SSL_ExpressionScaling	Алгоритм масштабирования
$SSL_ExpressionsNormal	Доступно в нормальных сценах
$SSL_ExpressionsVictim	Доступно как жертве
$SSL_ExpressionsAggressor	Доступно как агрессору
$SSL_ExpressionScalingHighlight	Алгоритм изменения эмоции относительно роста наслаждения.\nЛинейный: Линейное увеличение | Квадратичный: Резкое увеличение вначале, медленный рост в середине и быстрый рост близко к оргазму.\nCubic: Медленное начало, постепенное нарастание по мере приближения оргазма | Экспоненциальный: Очень медленное начало, быстрое нарастание по мере приближения оргазма
$SSL_EditFemale	Редактировать данные женщин
$SSL_TestOnPlayer	Тестировать на игроке

$SSL_WarnTestExpression{}	Тестируем выбранную эмоцию на {}. Продолжить?
$SSL_WarnTestExpressionLowOrHight	Тестировать минимальные(слева) или максимальные(справа) вариации профиля текущей эмоции?
$SSL_WarnTestExpressionWithOpenMouth	Протестировать текущую эмоцию с открытым ртом?
$SSL_StartTestExpression{}	Тестируем эмоцию {}. Значения сбросятся через 15 секунд.\nЗакройте меню чтобы продолжить...
$SSL_AppliedTestExpression	Эмоция применена, сброс через 15 секунд...
$SSL_RestoredTestExpression	Эмоции сброшены.

$SSL_EditExpressions_0	Данные Эмоций (минимум)
$SSL_EditExpressions_1	Данные эмоций (максимум)
$SSL_MoodType	Тип настроения
$SSL_MoodStrength	Сила настроения
$SSL_Phoneme	Фонемы
$SSL_Modifier	Модификаторы

$SSL_PrevPhase	<< Предыдущая фаза
$SSL_NextPhase	Следующая фаза >>

# ------ Sync lips config
$SSL_SyncLipsConfig	Конфигурация синхронизации губ

$SSL_Sync	Синхронно
$SSL_Async	Несинхронно
$SSL_LipsSoundTime	Поведение при синхронизации губ
$SSL_LipsSoundTimeHighlight	Синхронно: Губы начинают закрыватся, когда стон заканчивается.\nAsync: Губы закрываются с небольшой задержкой, независимо от состояния звука.
$SSL_bLipsFixedValue	Фиксированное значение губ
$SSL_bLipsFixedValueHighlight	Интенсивность синхронизации губ должна увеличиваться по мере увеличения удовольствия.

# ------------------ Strip Item Editor --------------------------------------------------
$SSL_StripEditor	Редактор раздевания

$SSL_Equipment{}	Снаряжение {}
$SSL_FullInventory	Показать весь инвентарь персонажа
$SSL_FullInventoryHighlight	Делает доступными все предметы из инвентаря персонажа для редактирования раздевания.
$SSL_AlwaysRemove	Всегда удалять
$SSL_NeverRemove	Никогда не удалять
$SSL_StripItemSlots{}	Снять вещи из слотов: {}


# ------------------ Rebuild & Clean --------------------------------------------------
$SSL_RebuildClean	Дебаг
$SSL_Installation	Установка

$SSL_bDebugMode	Режим отладки/Разработки (моддерам)
$SSL_bDebugModeHighlight	Включает дополнительное логирование. Может немного замедлить работу, но позволяет лучше отлавливать ошибки.
$SSL_StopCurrentAnimations	Остановить текущую анимацию
$SSL_StopCurrentAnimationsHighlight	ОСтанавливает все активные потоки SexLab, вне зависимости от степени участия в них игрока.
$SSL_StopRunningAnimations	Остановить все анимации
$SSL_ResetStripOverrides	Сброс редактора раздевания
$SSL_ResetStripOverridesHighlight	Сброс всех настроек раздевания сделаных пользователем
$SSL_CleanSystem	Реинициализировать SexLab
$SSL_CleanSystemHighlight	Полностью реинициализирует SexLab; Не рекоммендуется!
$SSL_WarnCleanSystem	Процедура очистки сбросит все внутренние настройки SexLab до первоначальных значений, остановит все запущенные анимации и остановит выполнение скриптов. Вы действительно хотите продолжить?
$SSL_Resetting	Сброс...
$SSL_CurrentlyInstalling	Инициализация SexLab...
$SSL_ForceRegisterVoices	Сохранить настройки голосов
$SSL_ForceRegisterVoicesHighlight	Принудительно сохраняет настройки голосов персонажа и NPC. Это так же происходит автоматически при переходе в другую локацию.

$RegistryInfo	Статус реестра
$SSL_Animations	Анимации
$SSL_Voices	Голоса
$SSL_Expressions	Эмоции

# ------ Available Strap-ons
$SSL_AvailableStrapons	Доступные страпоны
$SSL_RebuildStraponList	Переустановить страпоны
$SSL_RebuildStraponListHighlight	Обновляет список страпонов доступных SexLab
$SSL_FoundStrapon	Обнаружены поддерживаемые страпоны. Установка завершена.
$SSL_NoStrapons	Поддерживаемых страпонов не найдено. Установка отменена.
$SSL_toggleStraponHighlight	Нажмите чтобы выключить использование данного страпона SexLab


# ------------------ Legacy --------------------------------------------------
$SSL_Neutral	Нейтральный
$SSL_Unsullied	Незапятнанный
$SSL_CleanCut	Безупречный
$SSL_PrimProper	Благопристойный
$SSL_Virtuous	Добродетельный
$SSL_EverFaithful	Верный
$SSL_Ladylike	Женственный
$SSL_Lordly	Благородный
$SSL_Saintly	Праведный
$SSL_Experimenting	Экспериментирующий
$SSL_UnusuallyHorny	Перевозбуждённый
$SSL_Promiscuous	Неразборчивый
$SSL_SexualDeviant	Девиантное поведение
$SSL_Debaucherous	Распущенный
$SSL_Nymphomaniac	Нимфомания
$SSL_Depraved	Развратность
$SSL_Hypersexual	Гиперсексуальность
